atyidae,baetidae,caenidae,calamoceratidae,ceratopogonidae,chironominae,coloburiscidae,conoesucidae,corydalidae,crambidae,diamesinae,diphlebiidae,dytiscidae,ecnomidae,elmidae,empididae,glossosomatidae,gomphidae,gripopterygidae,gyrinidae,helicopsychidae,hydraenidae,hydrobiosidae,hydrophilidae(Larvae),hydropsychidae,hydroptilidae,leptoceridae,leptophlebiidae,libelluidae,lymnaeidae,micronectidae,mites,muscidae,oligo,orthocladiinae,paramelitidae,philopotamidae,Philorheithridae,physidae,pleidae,podonominae,polycentropodidae,psephenidae,psychodidae,scimyzidae,simulidae,tanypodinae,telephlebiidae,tipulidae
0,0,9,244,1,3,183,0,10,0,0,0,0,0,9,47,2,0,2,0,0,2,0,0,42,6,98,4,17,0,0,2,34,0,28,55,0,0,0,9,28,0,1,0,0,2,96,0,3
0,0,98,427,1,1,267,0,20,8,0,0,0,0,23,29,1,1,1,0,0,2,0,0,0,100,507,9,28,0,0,0,52,0,562,98,0,0,0,0,9,0,2,0,0,7,7,0,74
0,0,462,207,1,3,22,3,32,5,0,0,0,1,37,88,9,5,17,0,0,0,0,0,120,579,186,4,372,0,0,0,89,0,42,72,0,0,0,0,2,0,2,0,0,190,26,0,14
0,0,36,270,0,0,139,0,3,2,0,1,0,0,8,20,16,0,0,0,0,0,0,0,50,16,88,1,3,0,0,21,5,0,17,42,0,0,0,1,6,0,0,0,0,0,105,0,2
0,0,31,11,0,0,13,6,45,3,0,0,0,1,98,35,1,0,3,0,0,0,0,0,4,62,23,0,814,0,0,9,83,0,54,13,0,0,0,0,0,0,2,0,0,1,13,0,2
0,0,110,11,0,0,90,0,2,1,0,0,0,0,21,18,3,0,10,0,0,1,0,0,0,241,4,0,259,0,0,2,63,0,20,26,0,0,0,0,0,0,7,0,0,0,17,0,6
0,0,9,309,0,3,12,0,11,0,0,0,0,0,8,31,2,0,1,0,0,1,0,0,40,10,201,0,6,0,0,44,24,0,4,13,0,0,0,0,2,0,9,0,0,0,11,0,8
0,0,428,248,2,0,176,8,34,13,0,0,0,2,63,141,9,0,3,0,0,1,0,0,9,359,253,10,563,0,0,0,73,0,75,95,0,0,0,0,9,0,19,0,0,235,62,0,73
0,14,10,0,6,23,2,5,0,4,0,0,0,2,6,0,0,0,9,0,0,4,0,4,20,3,5,62,0,0,0,0,1,140,12,0,0,0,3,0,6,0,2,0,4,17,22,0,2
0,40,16,1,1,32,0,2,0,1,0,0,0,8,1,0,0,1,23,0,0,0,0,2,13,3,2,22,0,0,0,0,0,43,5,0,0,0,0,0,0,1,0,0,0,14,9,0,0
0,112,65,0,0,61,1,0,0,9,0,0,0,9,5,0,0,0,12,0,0,0,0,0,16,2,1,37,0,0,15,0,0,88,21,1,0,0,0,0,1,0,0,0,0,16,14,0,1
1,16,49,0,1,77,0,0,0,2,0,0,0,1,1,0,0,0,6,1,0,0,0,0,1,4,0,7,0,0,36,0,0,33,20,0,0,0,0,2,2,0,0,1,0,4,13,0,0
0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,21,45,1,1,58,0,0,0,4,0,0,0,3,2,0,0,1,1,0,0,0,0,0,3,1,0,13,1,0,0,0,3,82,6,0,0,0,0,0,15,0,0,0,0,4,10,0,0
1,84,81,0,0,38,1,0,0,1,0,0,0,3,5,0,0,0,20,0,0,0,0,0,24,0,0,41,0,0,1,0,0,180,17,0,0,0,0,0,13,0,1,1,0,42,13,0,2
0,154,75,1,2,58,1,0,0,0,0,0,0,9,1,1,0,1,16,0,0,0,0,3,4,7,0,14,0,0,0,3,0,51,1,0,0,0,2,0,4,0,0,0,0,1,5,0,0
0,35,3,0,0,5,0,41,1,0,0,0,0,0,14,0,0,1,11,0,27,0,0,2,8,0,5,71,0,0,0,2,0,49,5,0,0,0,0,0,0,0,7,0,0,2,4,0,1
0,12,1,0,2,13,0,0,0,0,0,0,0,1,2,5,0,1,5,0,0,0,0,2,5,0,2,14,0,0,0,0,0,186,23,0,0,0,0,0,5,0,5,1,0,2,8,0,4
0,42,6,0,0,15,0,6,0,0,0,0,0,1,1,0,0,3,5,0,2,0,0,0,2,0,1,40,0,0,0,0,0,46,47,0,0,0,0,0,0,0,2,0,0,25,0,0,0
0,7,1,0,1,5,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0,26,0,0,0,2,0,112,9,0,0,0,0,0,0,0,0,0,0,5,1,0,1
0,7,7,1,0,7,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,1,1,1,35,0,0,1,1,0,333,13,0,1,0,0,0,1,0,0,0,0,8,4,0,0
0,21,1,0,0,5,1,3,0,0,1,0,0,0,2,1,0,1,3,0,2,0,0,0,2,0,1,31,0,0,0,0,0,149,6,0,0,0,0,0,0,0,0,0,0,20,1,0,0
0,30,27,0,0,20,3,3,0,0,0,0,0,1,5,4,0,0,6,0,0,0,0,0,5,1,0,58,0,0,0,1,0,186,0,0,0,0,0,0,1,0,1,0,0,19,0,0,3
1,0,15,0,0,8,0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,4,0,157,8,0,0,0,0,0,1,0,0,0,0,1,1,1,0
0,74,30,22,0,163,0,4,0,0,0,0,4,2,16,2,1,1,7,0,2,0,0,0,14,1,6,125,0,0,42,11,0,23,30,0,0,0,1,0,0,1,2,0,0,4,94,1,0
0,565,52,0,0,77,17,0,0,0,0,0,0,30,2,16,1,0,1,0,0,0,12,1,716,18,5,147,0,0,0,44,0,36,53,0,1,4,0,0,0,0,1,0,0,7,14,0,41
0,33,114,13,0,121,4,21,0,0,0,0,0,12,16,18,1,0,0,0,12,0,0,0,136,37,5,23,0,0,29,49,0,28,35,0,0,0,1,0,3,0,2,0,0,0,48,1,22
0,189,29,2,2,43,1,1,0,0,0,0,0,35,39,3,1,2,0,0,0,0,3,1,340,8,2,139,0,0,0,22,0,52,23,0,0,0,0,0,0,0,0,0,0,16,17,0,25
0,162,50,2,1,85,0,9,0,0,0,0,1,26,28,12,1,0,1,0,1,0,0,0,121,7,9,78,0,1,11,23,0,62,44,0,0,0,1,0,0,0,0,0,0,0,57,0,16
0,104,103,0,0,64,1,11,1,0,0,0,0,19,35,4,4,0,2,0,3,0,1,0,163,10,5,74,0,0,0,53,0,98,63,0,0,0,0,0,0,0,0,0,0,4,62,0,31
0,602,126,1,0,76,25,13,1,0,0,0,1,85,52,5,23,3,0,0,2,0,5,0,608,14,0,168,0,0,0,66,0,15,269,0,0,0,0,0,1,0,0,0,0,1,77,0,66
1,57,902,0,1,130,5,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,2,7,0,1,24,2,0,102,2,0,38,20,0,0,0,0,0,1,0,0,0,0,0,188,0,1
