site,month,day,dist,date,time,no,no3,no2,nh3,tn,tp,op,alk,toc,cond,temp,sali,do,ph1,ph2,turb,vel,depth,width,chla,cfpom,sed,canop,graz,ind,fore,rec,road,tra,un,res,wat, treat,graz1000,ind1000,for1000,rec1000,road1000,tra1000,un1000,res1000,graz500,ind500,for500,road500,tra500,un500,res500,graz300,ind300,for300,road300,tra300,un300,res300,graz100,ind100,for100,road100,tra100,un100,res100,graz60,ind60,road60,tra60,un60,res60,veg30m,veg60m,veg90m,airtemp,rain1,rain2,rain3,dflowm,dflow3m,dayflow,weekflow,rflow,rflow3,solar
up1,Feb,1,0,25-02-14,1,1,0.01,0.01,0.1,0.1,0.014,0.01,19,1,46,21.327,0.051,8.023,7.3,6.99,18.2,0.22,12.17,21,0.872,0.645,39.739,15.34,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,34.4,0,0.835714286,0.484444444,13.3,32.5,90.9792,749.952,3240,8048.16,15
up2,Feb,1,8.7,25-02-14,1,2,0.01,0.01,0.09,0.1,0.021,0.01,20,2,51,22.487,0.052333333,8.307,7.1,6.88,34.4,0.25,22.17,26,1.408,3.633,55.176,0,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,34.4,0,0.835714286,0.484444444,13.3,32.5,90.9792,749.952,3240,8048.16,15
up3,Feb,1,10.4,25-02-14,1,3,0.04,0.01,0.09,0.2,0.012,0.01,19,2,48,21.78,0.049,8.137,7.2,6.88,16.7,0.55,23,22.67,2.49,1.036,52.595,2.34,40.11,0.13,48.98,0.01,1.44,0.32,3.52,5.4,0.06,0.03,35.25,1.85,20.85,0,5.61,0,10.45,26,55.98,7.78,23.81,2.2,0,7.3,2.94,34.31,20.16,38.26,0.53,0,6.74,0,0,68.11,0.35,0,0,31.53,0,0,42.8,0,0,57.2,0,1935.16,6899.55,18964.43,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
up4,Feb,1,10.77,25-02-14,1,4,0.04,0.01,0.09,0.2,0.013,0.01,19,2,48,21.67,0.049,8.193,7.2,6.89,16.27,0.95,31.33,37.33,2.318,0.652,25.076,6.24,40.06,0.13,48.98,0.01,1.45,0.32,3.55,5.41,0.06,0.03,35.23,1.9,26.8,0,6.29,0,14.62,15,30.29,8.07,30.38,2.75,0,27.02,1.49,0,15.5,31.5,0.81,0,52.18,0,0,0,0.05,0,0,99.95,0,0,0,0,0,100,0,2095.76,6407.58,12072.82,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds1,Feb,1,11.03,25-02-14,1,5,0.04,0.01,0.09,0.2,0.013,0.01,19,2,48,21.513,0.05,8.22,7.2,7.07,20.23,0.55,39.67,22.67,2.493,0.445,42.337,0.52,40.05,0.13,48.97,0.01,1.45,0.32,3.55,5.43,0.06,0.03,28.48,1.94,30.35,0,7.8,0,15.98,15,9.25,8.07,30.59,4.4,0,36.26,11.42,0,0,25.11,0,0,54.8,20.09,0,0,0,0,0,8.33,91.67,0,0,0,0,0,100,1443.84,4685.49,7313.79,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds2,Feb,1,11.53,25-02-14,1,6,0.05,0.01,0.09,0.2,0.014,0.01,19,2,49,21.577,0.049666667,8.397,7.2,6.85,17.33,0.59,33,38.67,4.105,0.947,47.081,3.38,40.04,0.13,48.97,0.01,1.45,0.32,3.55,5.44,0.06,0.03,25.33,1.94,26.41,0,8.45,0,18.16,20,6.5,0,19.91,3.32,0,25.64,44.64,10.07,0,19.6,5.31,0,2.74,62.28,43.58,0,11.78,16.33,0,0,28.3,73.95,0,17.62,0,0,8.42,1482.73,7779.76,17994.3,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds3,Feb,1,15.13,25-02-14,1,7,0.03,0.01,0.09,0.2,0.018,0.01,20,2,49,21.737,0.050333333,8.35,7.2,6.82,9,0.29,6.5,34,2.377,0.282,46.51,0.52,39.46,0.13,49.39,0.01,1.5,0.31,3.48,5.64,0.06,0.03,57.82,0,8.95,0,4.64,0,1.24,27,63.04,0,15.21,2.5,0,0,19.25,74.64,0,16.91,4.1,0,0,4.35,87.26,0,0,12.74,0,0,0,86.13,0,13.87,0,0,0,2682.29,8668.45,17429.29,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds4,Feb,1,21.23,25-02-14,1,8,0.02,0.01,0.1,0.2,0.017,0.01,19,2,50,21.577,0.051,8.003,7.3,6.98,9.17,0.22,22.67,42.33,2.267,1.502,35.21,6.5,40.56,0.12,48.22,0.01,1.53,0.3,3.48,5.69,0.06,0.02,67.44,0,9.62,0,0.92,0,7.26,15,15.94,0,13.93,3.44,0,20.37,46.32,0,0,15.61,8.12,0,32.48,43.79,0,0,13.05,16.15,0,67.44,3.36,0,0,0,0,100,0,2188.26,4739.86,12506.73,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
up1,May,92,0,28-05-14,2,1,0.17,0.01,0.099,2.1,0.38,0.01,12,5,27,11.49,0.028,8.94,7,7.73,78.07,0.56,26.67,20.33,7.415,7.833,27.824,31.36,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,14.5,35.4,2.767741935,1.043478261,3.5,66.2,3123.36,5624.64,15837.12,9602.496,3.7
up2,May,92,8.7,28-05-14,2,2,0.2,0.01,0.099,0.9,0.1,0.01,11,7,35,12.04,0.026,8.85,7,7.59,92.27,0.07,54.67,30,5.377,3.171,66.513,0,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,14.5,35.4,2.767741935,1.043478261,3.5,66.2,3123.36,5624.64,15837.12,9602.496,3.7
